cities_number
15
cities
city;x;y;capacity;has_airport
0;717;97;0;True
1;371;856;4;True
2;445;202;8;True
3;300;936;2;True
4;515;890;4;True
5;521;459;2;True
6;514;121;9;True
7;434;772;8;True
8;503;582;0;True
9;300;752;0;True
10;315;119;6;True
11;634;374;3;False
12;966;166;4;True
13;401;927;7;False
14;812;859;6;False
distance
cost
city;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
0;;834;292;937;818;412;204;732;530;776;403;289;258;888;768
1;;;658;107;148;424;749;105;304;126;739;549;911;77;441
2;;;;748;692;268;106;570;384;569;154;256;522;726;753
3;;;;;220;526;843;212;408;184;817;654;1018;101;518
4;;;;;;431;769;143;308;255;797;530;853;120;299
5;;;;;;;338;325;124;367;398;141;533;483;495
6;;;;;;;;656;461;666;199;280;454;814;796
7;;;;;;;;;202;135;664;445;806;158;388
8;;;;;;;;;;265;500;246;622;360;415
9;;;;;;;;;;;633;504;887;202;523
10;;;;;;;;;;;;408;653;813;891
11;;;;;;;;;;;;;392;600;517
12;;;;;;;;;;;;;;948;710
13;;;;;;;;;;;;;;;417
14;;;;;;;;;;;;;;;
plane
cost
city;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
0;;1668.0;584.0;1874.0;1636.0;824.0;408.0;1464.0;1060.0;1552.0;806.0;inf;516.0;inf;inf
1;;;1316.0;214.0;296.0;848.0;1498.0;210.0;608.0;252.0;1478.0;inf;1822.0;inf;inf
2;;;;1496.0;1384.0;536.0;212.0;1140.0;768.0;1138.0;308.0;inf;1044.0;inf;inf
3;;;;;440.0;1052.0;1686.0;424.0;816.0;368.0;1634.0;inf;2036.0;inf;inf
4;;;;;;862.0;1538.0;286.0;616.0;510.0;1594.0;inf;1706.0;inf;inf
5;;;;;;;676.0;650.0;248.0;734.0;796.0;inf;1066.0;inf;inf
6;;;;;;;;1312.0;922.0;1332.0;398.0;inf;908.0;inf;inf
7;;;;;;;;;404.0;270.0;1328.0;inf;1612.0;inf;inf
8;;;;;;;;;;530.0;1000.0;inf;1244.0;inf;inf
9;;;;;;;;;;;1266.0;inf;1774.0;inf;inf
10;;;;;;;;;;;;inf;1306.0;inf;inf
11;;;;;;;;;;;;;inf;inf;inf
12;;;;;;;;;;;;;;inf;inf
13;;;;;;;;;;;;;;;inf
14;;;;;;;;;;;;;;;
time
city;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
0;;2.78;0.9733333333333334;3.1233333333333335;2.7266666666666666;1.3733333333333333;0.68;2.44;1.7666666666666666;2.5866666666666664;1.3433333333333333;inf;0.86;inf;inf
1;;;2.1933333333333334;0.3566666666666667;0.49333333333333335;1.4133333333333333;2.4966666666666666;0.35;1.0133333333333334;0.42;2.4633333333333334;inf;3.0366666666666666;inf;inf
2;;;;2.493333333333333;2.3066666666666666;0.8933333333333333;0.35333333333333333;1.9;1.28;1.8966666666666667;0.5133333333333333;inf;1.74;inf;inf
3;;;;;0.7333333333333333;1.7533333333333334;2.81;0.7066666666666667;1.36;0.6133333333333333;2.723333333333333;inf;3.3933333333333335;inf;inf
4;;;;;;1.4366666666666668;2.5633333333333335;0.4766666666666667;1.0266666666666666;0.85;2.6566666666666667;inf;2.8433333333333333;inf;inf
5;;;;;;;1.1266666666666667;1.0833333333333333;0.41333333333333333;1.2233333333333334;1.3266666666666667;inf;1.7766666666666666;inf;inf
6;;;;;;;;2.1866666666666665;1.5366666666666666;2.22;0.6633333333333333;inf;1.5133333333333334;inf;inf
7;;;;;;;;;0.6733333333333333;0.45;2.2133333333333334;inf;2.6866666666666665;inf;inf
8;;;;;;;;;;0.8833333333333333;1.6666666666666667;inf;2.0733333333333333;inf;inf
9;;;;;;;;;;;2.11;inf;2.9566666666666666;inf;inf
10;;;;;;;;;;;;inf;2.1766666666666667;inf;inf
11;;;;;;;;;;;;;inf;inf;inf
12;;;;;;;;;;;;;;inf;inf
13;;;;;;;;;;;;;;;inf
14;;;;;;;;;;;;;;;
train
cost
city;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
0;;525.6817328516271;213.44220436389932;746.1641861721623;691.7591322289862;345.89854137776297;143.880884215791;610.8568833506771;362.0653516211639;482.59618646905466;294.51714792154206;247.74109213608457;190.91097794758568;620.7107152425043;647.1774234345304
1;;;437.7688253569157;71.20790216667412;127.8753233099083;293.1946314908685;540.0470138115389;89.89888195539869;200.64341765055144;96.18728277170379;515.596606630299;345.99441900021947;616.2108127359681;48.80259876695101;335.8220345375387
2;;;;593.0683153995075;441.2460420996679;183.90555103366654;76.79226184165897;422.1513460330963;327.7999716184494;343.4689480860258;136.51148076346186;196.7814608648195;367.4257658981231;608.1470856626543;597.3409580378626
