cities_number
20
cities
city;x;y;capacity;has_airport
0;788;435;8;True
1;892;218;9;False
2;597;4;7;True
3;403;15;10;True
4;757;968;8;True
5;46;765;1;False
6;469;383;7;True
7;696;335;2;False
8;405;225;9;True
9;415;435;10;True
10;108;751;8;True
11;745;908;0;False
12;209;83;10;True
13;142;260;1;True
14;519;722;0;True
15;977;761;8;True
16;534;816;8;False
17;692;514;6;True
18;79;462;2;False
19;314;89;1;True
distance
cost
city;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
0;;241;471;570;534;812;323;136;437;373;750;475;678;669;393;377;458;124;710;587
1;;;364;529;762;1007;454;228;487;524;948;705;696;751;627;550;697;357;849;592
2;;;;194;977;940;400;345;293;468;893;916;396;522;722;847;814;519;691;295
3;;;;;1017;831;374;434;210;420;793;956;206;358;716;941;812;577;552;116
4;;;;;;739;652;636;822;633;684;61;1041;938;342;302;270;459;846;984
5;;;;;;;570;779;648;495;64;713;701;514;475;931;491;693;305;727
6;;;;;;;;232;170;75;516;593;397;349;343;633;438;259;398;332
7;;;;;;;;;311;298;720;575;548;559;426;510;508;179;630;454
8;;;;;;;;;;210;604;763;242;265;510;784;605;407;403;164
9;;;;;;;;;;;441;577;408;324;305;650;399;288;337;360
10;;;;;;;;;;;;656;676;492;412;869;431;630;290;693
11;;;;;;;;;;;;;984;885;293;275;230;398;802;925
12;;;;;;;;;;;;;;189;710;1024;802;647;401;105
13;;;;;;;;;;;;;;;596;974;680;606;212;243
14;;;;;;;;;;;;;;;;460;95;271;511;665
15;;;;;;;;;;;;;;;;;446;377;946;944
16;;;;;;;;;;;;;;;;;;341;576;760
17;;;;;;;;;;;;;;;;;;;615;569
18;;;;;;;;;;;;;;;;;;;;441
19;;;;;;;;;;;;;;;;;;;;
plane
cost
city;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
0;;inf;942.0;1140.0;1068.0;inf;646.0;inf;874.0;746.0;1500.0;inf;1356.0;1338.0;786.0;754.0;inf;248.0;inf;1174.0
1;;;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf
2;;;;388.0;1954.0;inf;800.0;inf;586.0;936.0;1786.0;inf;792.0;1044.0;1444.0;1694.0;inf;1038.0;inf;590.0
3;;;;;2034.0;inf;748.0;inf;420.0;840.0;1586.0;inf;412.0;716.0;1432.0;1882.0;inf;1154.0;inf;232.0
4;;;;;;inf;1304.0;inf;1644.0;1266.0;1368.0;inf;2082.0;1876.0;684.0;604.0;inf;918.0;inf;1968.0
5;;;;;;;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf
6;;;;;;;;inf;340.0;150.0;1032.0;inf;794.0;698.0;686.0;1266.0;inf;518.0;inf;664.0
7;;;;;;;;;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf
8;;;;;;;;;;420.0;1208.0;inf;484.0;530.0;1020.0;1568.0;inf;814.0;inf;328.0
9;;;;;;;;;;;882.0;inf;816.0;648.0;610.0;1300.0;inf;576.0;inf;720.0
10;;;;;;;;;;;;inf;1352.0;984.0;824.0;1738.0;inf;1260.0;inf;1386.0
11;;;;;;;;;;;;;inf;inf;inf;inf;inf;inf;inf;inf
12;;;;;;;;;;;;;;378.0;1420.0;2048.0;inf;1294.0;inf;210.0
13;;;;;;;;;;;;;;;1192.0;1948.0;inf;1212.0;inf;486.0
14;;;;;;;;;;;;;;;;920.0;inf;542.0;inf;1330.0
15;;;;;;;;;;;;;;;;;inf;754.0;inf;1888.0
16;;;;;;;;;;;;;;;;;;inf;inf;inf
17;;;;;;;;;;;;;;;;;;;inf;1138.0
18;;;;;;;;;;;;;;;;;;;;inf
19;;;;;;;;;;;;;;;;;;;;
time
city;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
0;;inf;1.57;1.9;1.78;inf;1.0766666666666667;inf;1.4566666666666668;1.2433333333333334;2.5;inf;2.26;2.23;1.31;1.2566666666666666;inf;0.41333333333333333;inf;1.9566666666666668
1;;;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf
2;;;;0.6466666666666666;3.256666666666667;inf;1.3333333333333333;inf;0.9766666666666667;1.56;2.9766666666666666;inf;1.32;1.74;2.4066666666666667;2.8233333333333333;inf;1.73;inf;0.9833333333333333
3;;;;;3.39;inf;1.2466666666666666;inf;0.7;1.4;2.6433333333333335;inf;0.6866666666666666;1.1933333333333334;2.3866666666666667;3.1366666666666667;inf;1.9233333333333333;inf;0.38666666666666666
4;;;;;;inf;2.1733333333333333;inf;2.74;2.11;2.28;inf;3.47;3.1266666666666665;1.14;1.0066666666666666;inf;1.53;inf;3.28
5;;;;;;;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf
6;;;;;;;;inf;0.5666666666666667;0.25;1.72;inf;1.3233333333333333;1.1633333333333333;1.1433333333333333;2.11;inf;0.8633333333333333;inf;1.1066666666666667
7;;;;;;;;;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf
8;;;;;;;;;;0.7;2.013333333333333;inf;0.8066666666666666;0.8833333333333333;1.7;2.6133333333333333;inf;1.3566666666666667;inf;0.5466666666666666
9;;;;;;;;;;;1.47;inf;1.36;1.08;1.0166666666666666;2.1666666666666665;inf;0.96;inf;1.2
10;;;;;;;;;;;;inf;2.2533333333333334;1.64;1.3733333333333333;2.8966666666666665;inf;2.1;inf;2.31
11;;;;;;;;;;;;;inf;inf;inf;inf;inf;inf;inf;inf
12;;;;;;;;;;;;;;0.63;2.3666666666666667;3.4133333333333336;inf;2.1566666666666667;inf;0.35
13;;;;;;;;;;;;;;;1.9866666666666666;3.2466666666666666;inf;2.02;inf;0.81
14;;;;;;;;;;;;;;;;1.5333333333333334;inf;0.9033333333333333;inf;2.216666666666667
15;;;;;;;;;;;;;;;;;inf;1.2566666666666666;inf;3.1466666666666665
16;;;;;;;;;;;;;;;;;;inf;inf;inf
17;;;;;;;;;;;;;;;;;;;inf;1.8966666666666667
18;;;;;;;;;;;;;;;;;;;;inf
19;;;;;;;;;;;;;;;;;;;;
train
cost
city;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
0;;198.69378128088343;365.0842688269545;439.0484324301723;343.17547943981486;573.0085257038564;237.6887813095993;98.93864891982044;372.460205500694;267.565360864786;498.14061751651485;297.5788185073902;596.9251245349587;472.95220106493366;296.34003576896606;337.1227351152709;335.9420797048635;96.36145860172675;573.4652257513847;461.1978355731156
1;;;268.2715100423453;352.0340197435439;621.032035472597;622.3174203950631;351.60333203351513;175.06450986684487;369.11012633180394;369.1416590015746;699.0170001461465;474.8980086898321;589.3019954941349;525.4686571159656;498.3243125790756;396.09939766959525;448.99497223163416;295.62226794180515;682.0544139827049;484.18428502655496
2;;;;173.25930508072028;792.6090602311381;829.7154856289358;306.8945024925856;290.6045472128245;198.63977421019925;390.62158152774765;573.9647837569734;621.943366714523;285.82156862158155;451.7430230455372;609.9347670463345;550.9406892663311;596.7150591011327;450.9479116766018;541.1838689509141;248.25065251430573
3;;;;;707.3929515354986;505.5288718862523;237.2636676367654;352.70218650356554;164.56923939584573;307.67542872863544;677.6101764933521;789.2972795875377;130.58119092924576;312.60272561490643;623.6332104181935;779.5948164745239;675.9391186997683;385.73235693339706;478.9366296100324;79.83942255837663
4;;;;;;621.9664737841748;427.21558965529266;430.86060394346384;529.1360608893173;441.39559260296403;561.445029216095;48.71739039639175;853.2567410121391;821.0244256222782;284.18878371991485;222.27010923335024;206.55748968694726;335.87119736332016;617.9972540545488;809.9803884746814
5;;;;;;;383.1410293562145;661.5090290715133;423.08932818192636;303.6797292744999;48.06623952143534;477.1722302666697;541.2868962239268;430.9301592932616;423.3897707102154;626.7767700335731;413.31620075694036;612.1437955521219;183.47645136826412;465.41487331015696
6;;;;;;;;192.2177800317486;140.49817381159494;67.28200782124375;454.76281745526524;447.5854157990525;343.15901153704834;269.8398913169189;205.96756711969434;498.68054469269657;386.44498114925455;219.9759756881271;248.85758716380803;206.0586421894906
7;;;;;;;;;267.06613982906805;210.11594367315797;468.1095881053715;438.975306486415;386.7420995409891;341.78331265974805;348.1908499511057;382.1538391418961;435.79778532225504;143.81390866875637;560.9112213151409;311.76776801505827
8;;;;;;;;;;145.1081136419426;484.8849205194812;595.949504188591;185.91767266757077;196.33440521325315;430.53725562948085;589.8437425690295;406.90205102723723;316.29329683759664;357.9921062945827;129.45535556907961
9;;;;;;;;;;;345.29625209231625;350.76033327313223;334.7868527916594;209.4766536278902;209.04177164703103;471.45092924340526;320.8794838979947;242.11519513634508;212.96125850590238;295.58249113799934
10;;;;;;;;;;;;527.2181997673954;471.10378250673375;379.97355881317094;301.26852527139954;753.1968874406941;280.38830814009316;380.2709380723891;247.7893073743392;603.647456584766
11;;;;;;;;;;;;;668.9513509863435;607.6900160803696;232.06921720192707;226.5265220344871;196.7893226769817;288.98078947629267;492.5136952954764;783.2799385225022
12;;;;;;;;;;;;;;164.45636839777913;621.1503207836279;618.4640000954412;658.2009512407977;509.8521263383144;352.22483077579034;80.88361072130436
13;;;;;;;;;;;;;;;428.0860181202576;852.9526700955226;569.2755130076822;465.67599554670824;154.95949544929493;184.8742257048943
14;;;;;;;;;;;;;;;;308.1664886187248;71.47052269079884;191.05720416369914;438.8532610809499;489.077832007583
15;;;;;;;;;;;;;;;;;275.59662461541603;327.0810012183755;703.864558715266;572.6773036381529
16;;;;;;;;;;;;;;;;;;244.30185855773064;502.28949551490336;647.9960062958526
17;;;;;;;;;;;;;;;;;;;488.1903236678917;511.67694611772225
18;;;;;;;;;;;;;;;;;;;;276.8289863599296
19;;;;;;;;;;;;;;;;;;;;
time
city;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
0;;3.311563021348057;6.084737813782575;7.317473873836205;5.719591323996914;9.550142095064274;3.9614796884933217;1.6489774819970073;6.207670091678233;4.459422681079767;8.302343625275247;4.95964697512317;9.948752075582645;7.882536684415561;4.939000596149435;5.618712251921182;5.599034661747725;1.6060243100287792;9.557753762523078;7.68663059288526
1;;;4.471191834039089;5.867233662392398;10.350533924543283;10.371957006584385;5.860055533891919;2.917741831114081;6.151835438863399;6.152360983359577;11.650283335769108;7.9149668114972025;9.821699924902248;8.75781095193276;8.30540520965126;6.601656627826587;7.4832495371939025;4.927037799030086;11.367573566378415;8.069738083775915
