packages_number
100
number;city_from;city_to;date_ready;date_delivery;weight
0;18;3;1;11;4
1;0;5;10;14;7
2;0;11;3;15;4
3;6;19;13;16;4
4;12;19;5;9;6
5;2;4;1;13;5
6;12;11;5;9;5
7;2;9;7;12;6
8;15;12;1;5;6
9;19;13;9;12;3
10;3;8;10;13;3
11;10;8;12;15;3
12;17;14;1;10;6
13;10;8;4;9;6
14;19;7;13;16;7
15;17;18;4;11;7
16;16;14;11;15;6
17;11;0;6;10;6
18;1;16;11;14;6
19;8;1;2;16;4
20;8;17;9;12;7
21;3;8;7;15;5
22;8;6;8;14;5
23;13;0;2;12;4
24;16;17;2;10;3
25;13;14;11;15;4
26;13;8;12;15;7
27;7;1;12;16;7
28;4;11;7;13;5
29;5;10;0;13;3
30;3;4;12;15;4
31;2;3;7;15;4
32;9;4;2;9;6
33;18;16;1;13;4
34;7;16;12;15;6
35;0;16;6;16;5
36;6;13;2;13;4
37;5;15;0;8;4
38;19;11;2;16;6
39;1;10;6;10;5
40;11;7;6;16;4
41;4;1;0;10;6
42;9;5;13;16;7
43;13;17;8;11;6
44;11;12;9;16;6
45;11;0;1;7;6
46;0;8;6;9;6
47;15;13;2;12;3
48;8;12;0;11;7
49;16;10;12;16;5
50;17;12;1;16;5
51;8;16;12;15;4
52;7;9;2;7;3
53;1;15;6;9;5
54;17;19;7;13;4
55;4;14;2;10;4
56;13;4;3;16;7
57;19;9;10;15;6
58;8;3;4;16;6
59;9;12;12;15;6
60;12;3;11;15;5
61;16;12;9;13;3
62;13;7;10;15;5
63;18;2;4;9;6
64;16;7;5;15;4
65;8;15;7;15;6
66;18;6;11;14;7
67;10;7;2;7;7
68;14;18;6;9;3
69;7;16;9;13;6
70;13;10;1;14;5
71;14;6;7;14;6
72;17;0;9;12;4
73;1;14;8;13;6
74;3;11;4;8;4
75;8;9;13;16;7
76;15;5;4;7;7
77;8;16;7;14;5
78;4;15;12;15;5
79;13;4;8;15;7
80;6;18;13;16;3
81;15;3;3;15;5
82;16;14;4;11;6
83;0;15;11;14;7
84;2;8;8;15;6
85;7;12;2;9;6
86;4;11;12;16;3
87;16;5;6;12;5
88;13;2;9;15;7
89;13;15;0;11;6
90;6;0;4;10;7
91;3;9;0;11;5
92;4;1;11;14;6
93;3;16;13;16;5
94;12;10;12;16;4
95;7;2;3;16;4
96;2;12;12;15;3
97;16;8;9;16;5
98;8;10;0;8;5
99;3;19;9;12;7
